name 2,Country Code,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Country Name,Region,Economy,LDC,SIDS,LLDC,HDI,Status,Project Count,Output Count,Budget Total,Direct Beneficiaries
Afghanistan,AFG,4,Asia,Southern Asia,,yes,,Asia-Pacific Group,Afghanistan,RBAP,Upper middle income,LDC,,LLDC,Low,Clean Up,6,7,130125929.0,4017027.0
Albania,ALB,8,Europe,Southern Europe,,yes,,Eastern European Group,Albania,RBEC,Upper middle income,,,,High,Clean Up,5,8,90090053.69999999,18912.0
Algeria,DZA,12,Africa,Northern Africa,,yes,,African Group,Algeria,RBAS,Lower middle income,,,,High,Clean Up,3,3,4826210.0,35000.0
Angola,AGO,24,Africa,Sub-Saharan Africa,,yes,,African Group,Angola,RBA,Lower middle income,LDC,,,Medium,CO Update-2,2,4,17400468.0,78444.0
Argentina,ARG,32,Americas,Latin America and the Caribbean,,yes,,GRULAC,Argentina,RBLAC,Upper middle income,,,,Very High,CO Update-2,3,5,14892344.0,0.0
Armenia,ARM,51,Asia,Western Asia,,yes,,Eastern European Group,Armenia,RBEC,Upper middle income,,,LLDC,High,Clean Up,5,5,23361327.0,339000.0
Azerbaijan,AZE,31,Asia,Western Asia,,yes,,Eastern European Group,Azerbaijan,RBEC,Upper middle income,,,LLDC,High,Clean Up,2,3,6292549.0,120.0
Bahrain,BHR,48,Asia,Western Asia,AIS,yes,yes,Asia-Pacific Group,Bahrain,RBAS,High income,,SIDS,,Very High,Clean Up-2,1,1,7254715.0,0.0
Bangladesh,BGD,50,Asia,Southern Asia,,yes,,Asia-Pacific Group,Bangladesh,RBAP,Lower middle income,LDC,,,Medium,Clean Up,8,23,173045425.0,269956.8
Barbados,BRB,52,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Barbados,RBLAC,High income,,SIDS,,High,Cleaned,1,4,6375344.0,28175.0
Belarus,BLR,112,Europe,Eastern Europe,,yes,,Eastern European Group,Belarus,RBEC,Upper middle income,,,,Very High,Clean Up-2,1,2,1680000.0,0.0
Belize,BLZ,84,Americas,Latin America and the Caribbean,Caribbean,yes,yes,GRULAC,Belize,RBLAC,Upper middle income,,SIDS,,Medium,Clean Up,3,10,26541634.55,1981.25
Benin,BEN,204,Africa,Sub-Saharan Africa,,yes,,African Group,Benin,RBA,Lower middle income,LDC,,,Low,Clean Up-2,4,10,54343953.0,143252.0
Bhutan,BTN,64,Asia,Southern Asia,,yes,,Asia-Pacific Group,Bhutan,RBAP,Lower middle income,LDC,,LLDC,Medium,Clean Up,4,4,6258424.0,65434.0
Bolivia (Plurinational State of),BOL,68,Americas,Latin America and the Caribbean,,yes,,GRULAC,Bolivia,RBLAC,Lower middle income,,,LLDC,Medium,Done,0,0,0.0,0.0
Bosnia and Herzegovina,BIH,70,Europe,Southern Europe,,yes,,Eastern European Group,Bosnia and Herzegovina,RBEC,Upper middle income,,,,High,Clean Up,8,16,158190887.0,431561.0
Botswana,BWA,72,Africa,Sub-Saharan Africa,,yes,,African Group,Botswana,RBA,Upper middle income,,,LLDC,Medium,Clean Up,1,3,7896900.0,52500.0
Brazil,BRA,76,Americas,Latin America and the Caribbean,,yes,,GRULAC,Brazil,RBLAC,Upper middle income,,,,High,CO Update,1,3,5200707.0,928.05
Burkina Faso,BFA,854,Africa,Sub-Saharan Africa,,yes,,African Group,Burkina Faso,RBA,Low income,LDC,,LLDC,Low,CO Update-2,3,9,8388962.0,87704.0
Burundi,BDI,108,Africa,Sub-Saharan Africa,,yes,,African Group,Burundi,RBA,Low income,LDC,,LLDC,Low,Clean Up-2,1,4,29042140.0,38963.12
Cabo Verde,CPV,132,Africa,Sub-Saharan Africa,AIS,yes,yes,African Group,Cabo Verde,RBA,Lower middle income,,SIDS,,Medium,Assumed no projects,0,0,0.0,0.0
Cambodia,KHM,116,Asia,South-eastern Asia,,yes,,Asia-Pacific Group,Cambodia,RBAP,Lower middle income,LDC,,,Medium,Clean Up,3,18,170914310.0,70719.025
Cameroon,CMR,120,Africa,Sub-Saharan Africa,,yes,,African Group,"Cameroon, Republic of",RBA,Lower middle income,,,,Medium,Clean Up,3,11,8904772.0,34278.5
Central African Republic,CAF,140,Africa,Sub-Saharan Africa,,yes,,African Group,Central African Republic,RBA,Low income,LDC,,LLDC,Low,CO Update,2,2,4145000.0,448636.0
Chad,TCD,148,Africa,Sub-Saharan Africa,,yes,,African Group,Chad,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,7,12215000.0,42069.25
Chile,CHL,152,Americas,Latin America and the Caribbean,,yes,,GRULAC,Chile,RBLAC,High income,,,,Very High,Done,0,0,0.0,0.0
China,CHN,156,Asia,Eastern Asia,,yes,,Asia-Pacific Group,China,RBAP,Upper middle income,,,,High,Clean Up,7,13,96754478.0,4418500.0
Colombia,COL,170,Americas,Latin America and the Caribbean,,yes,,GRULAC,Colombia,RBLAC,Upper middle income,,,,High,CO Update,3,3,0.0,16696.0
Comoros,COM,174,Africa,Sub-Saharan Africa,AIS,yes,yes,African Group,Comoros,RBA,Lower middle income,LDC,SIDS,,Medium,Clean Up-2,3,8,43141579.0,814210.5
Congo,COG,178,Africa,Sub-Saharan Africa,,yes,,African Group,Congo,RBA,Lower middle income,,,,Medium,CO Update-2,1,1,1944133.0,45000.0
"Congo, Democratic Republic of the",COD,180,Africa,Sub-Saharan Africa,,yes,,African Group,Dem. Rep. of the Congo,RBA,Low income,LDC,,,Low,Clean Up,5,10,2528905665.0,28271999.75
Costa Rica,CRI,188,Americas,Latin America and the Caribbean,Caribbean,yes,,GRULAC,Costa Rica,RBLAC,Upper middle income,,,,Very High,Clean Up-2,1,7,72225790.0,0.0
