Project ID,Title,Link,Budget,Beneficiary Category,Indicator,Baseline,Target,Notes,Donors,Gender (% female),VF or Non-VF,Tag,SEH Taxonomy,RISE Taxonomy,Flagship,Technology,Output ID,Country Code,Category,name 2,m49,continent-region,sub-region,sids-region,un-member,undp-sids,un-region,Country Name,Region,Economy,LDC,SIDS,LLDC,HDI,Status,Direct Conversion Factor,Direct Beneficiaries,Output Category,Beneficiary Category Pre,Description
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,Clean Electricity,Nombre de ménages ayant accès à l’énergie solaire désagrégés par ménages diriogés par les hommes et les femmes,0,3697.5,"Nombre de ménages dirigés par les hommes: 650, nombre de ménages dirigés par les femmes: 200",UNDP,0.24,Non-VF,,Close the gap on energy access,,,Solar,117913.0-1,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,1,3697.5,Energy Access,Electricity Access,"Provide access to solar energy for 3697 households, disaggregated by households led by men and women, in Togo."
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,Other,Pourcentage des producteurs de charbon dans les localités cibles utilisant des techniques efficientes de carbonisation du bois avec un rendement supérieur à 30%,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,,Close the gap on energy access,,,,117913.0-2,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,0,0.0,Other,,Increase the percentage of coal producers in targeted communities using efficient wood carbonization techniques with a yield of over 30% from 0 to 460.
117913,Résilience des communautés et des écosystèmes,http://open.undp.org/projects/00117913,3459600.0,Other,Pourcentatge des femmes productrices de charbon reconverties à d'autres activités génératrices de revenus,0,460,Il ya 576 productrices de chanbons qui ont été recensées dans 16 villages,UNDP,,Non-VF,,Close the gap on energy access,,,,117913.0-3,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,0,0.0,Other,,"Convert 460 female charcoal producers to alternative income-generating activities in 16 villages, as part of a project promoting local development and environmental management practices in rural communities."
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,Clean Electricity,"Nombre de ménages dans les villages ciblés, y compris les ménages dirigés par les femmes, ayant accès à l’énergie solaire ",0,6524.999999999999,"Nombre de ménages dirigés par les hommes: 1200, nombre de ménages dirigés par les femmes: 300",UNDP,0.2,Non-VF,,Close the gap on energy access,,,Solar,134793.0-1,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,1,6524.999999999999,Energy Access,Electricity Access,"Provide access to solar energy for households in targeted villages, including households led by women, with a target of 6,525 beneficiaries."
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,Other,Environ 50 000 personnes au Total,10,50000,Environ 50 000 personnes au Total,UNDP,,Non-VF,,Close the gap on energy access,,,,134793.0-2,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,0,0.0,Other,,"Accelerate access to renewable energy for economic empowerment of rural populations in Togo, benefiting approximately 50,000 people in total."
134793,Accès aux énergies renouvelables en milieu rural au Togo,http://open.undp.org/projects/00134793,1431552.0,Other,Nombre de nouvelles entreprises créées utilisant l’énergie solaire dans les villages ciblés par le projet,0,250,"5 entreprises par village bénéficiaire, représentant 500 personnes au moins",UNDP,,Non-VF,,Close the gap on energy access,,,,134793.0-3,TGO,,Togo,768.0,Africa,Sub-Saharan Africa,,yes,,African Group,Togo,RBA,Low income,LDC,,,Low,CO Update,100,25000.0,Other,Medium Enterprises,"Create 250 new solar energy businesses in targeted villages, benefiting at least 500 people, as part of a project to accelerate access to renewable energy in rural areas of Togo."
91204,Apoyo a la Modernización de La Gestión Ambiental,https://open.undp.org/projects/00082182,4202031.0,Overall,"Number of public environmental policies, plans and/or programs approved and being implemented.",7,16,"The modernization of Panama's environmental management model aims to strengthen the capacities of the Ministry of Environment to ensure sustainable development, through 5 priorities.","UNDP (TRAC 4000) CLIMATE PROMISE (28708) - NDC Partnership (PAF)
Aes Panamá S.R.L
Federal Ministry For The Environment, Nature Conservation And Nuclear Safety
Pan-Government",,Non-VF,,Accelerating just energy transition,Overall,,,91204.0-1,PAN,,Panama,591.0,Americas,Latin America and the Caribbean,,yes,,GRULAC,Panama,RBLAC,High income,,,,Very High,CO Update,0,0.0,Policy,Policy or Regulatory Framework,"Approve and implement 16 public environmental policies, plans, and/or programs to strengthen Panama's environmental management model and ensure sustainable development."
133871,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000.0,Solar,IRRF: 2.1.1.1 Country has targets for low emission and climate-resilient development ,0,1,"Adoption of a photovoltaic (PV) solar microgrid system for productive use in one of the communities in the Panama Canal Hydrographic Basin, with a gender approach","UNDP (TRAC 4001) Donor 00012
",,Non-VF,,Accelerating just energy transition,,,Solar,133871.0-1,PAN,,Panama,591.0,Americas,Latin America and the Caribbean,,yes,,GRULAC,Panama,RBLAC,High income,,,,Very High,CO Update,17500,17500.0,Energy Transition,Energy (MW added),"Implement a photovoltaic (PV) solar microgrid system for productive use in a community in the Panama Canal Hydrographic Basin, promoting new models of rural electrification in isolated areas."
133871,Beyond Recovery COVID19 Energy,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",473000.0,Overall,IRRF: 2.1.1.2 Country has public-private partnerships at national level to improve the enabling framework for economic diversification and green growth ,0,1,,,,Non-VF,,Accelerating just energy transition,Overall,,,133871.0-2,PAN,,Panama,591.0,Americas,Latin America and the Caribbean,,yes,,GRULAC,Panama,RBLAC,High income,,,,Very High,CO Update,0,0.0,Policy,Policy or Regulatory Framework,"Implement universal access through the implementation of a microgrid for productive use in a community in the Canal Basin, promoting new models of rural electrification in isolated areas."
6613,Africa Mini-grids Program,PIMS+,1363947.0,Agriculture and Food System,"Number of direct beneficiaries benefitting from energy access via minigrids, disaggregated by gender and by customer segment (residential, social, commercial/productive use) as co-benefit of GEF investment",0,4936.0,"Total of 4,396 beneficiaries (2242 women), 4,190 residential, 80 social services, 126 people (commercial/PUE)",,51,VF,,Close the gap on energy access,,,,6613-1,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,1,4936.0,Energy Access,Agriculture and Food System,"Provide energy access to 4,936 beneficiaries, including 2,242 women, through mini-grids in Zambia. The beneficiaries are disaggregated by gender and customer segment (residential, social, commercial/productive use)."
6613,Africa Mini-grids Program,PIMS+,1363947.0,Other, Greenhouse gas emissions mitigated (tCO­2­ lifetime reduction,0,13780.0,Direct lifetime emission reduction (ER) of 13.78 ktCO2; Indirect ER = 643.33 MtCO2.,,,VF,,Close the gap on energy access,,,,6613-2,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,0,0.0,GHG Emissions Reduction,GHG Emissions Reduction,Mitigate 13.78 ktCO2 of greenhouse gas emissions through the Africa Mini-grids Program in Zambia.
6613,Africa Mini-grids Program,PIMS+,1363947.0,Clean Electricity,Increase in installed solar PV capacity and battery storage  [kW -solar – MWh battery],0,,"Minigrid pilots, installed solar capacity of 450 kW with 1.091 MWh of storage capacity",,,VF,,Close the gap on energy access,,,Solar,6613-3,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,17500,0.0,Energy Access,Energy (MW added),Install 450 kW of solar PV capacity and 1.091 MWh of battery storage in Zambia as part of the Africa Mini-grids Program.
missing-ZMB-1,Solar For health,,,Health Services,Number of people have access to modern electricity service,,810000.0,"Number of benificiaries is estimated 810,000",,,Non-VF,,Close the gap on energy access,,,,missing-ZMB-1-1,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,1,810000.0,Energy Access,Health Services,"Provide access to modern electricity service for an estimated 810,000 beneficiaries through the Solar For Health project in Zambia."
missing-ZMB-1,Solar For health,,,Other,Number of health facilities that have access to unintrupted power supply and delivering quality health services,50,1002.0,The project is under development and would be finance GCF and start implementation in 2024 Q2. The project would provide unintrupted power supply to 1002 health facilitied and 9 Megawats ,,,Non-VF,,Close the gap on energy access,,,,missing-ZMB-1-2,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,0,0.0,Other,,Provide uninterrupted power supply to 1002 health facilities and deliver quality health services in Zambia through the Solar For Health project.
missing-ZMB-2,Greening UNDP Office,,222653.39,Solar,Greenhouse gas emissions mitigated and costs for electricity reduced.,0,0.15,"This is a joint project to install a 150 kWp solar PV system producing 264,123kWh annually by the UN Common premises in Zambia.
28.12 tCO2 reduction annually, with annual monetary savings of USD 4100","UNDP, UNICEF, UNFPA, UNCDF, RCO, UNDSS, UNCTAD, DCO.",,Non-VF,,Accelerating just energy transition,,,Solar,missing-ZMB-2-1,ZMB,,Zambia,894.0,Africa,Sub-Saharan Africa,,yes,,African Group,Zambia,RBA,Low income,LDC,,LLDC,Medium,Not Updated,17500,2625.0,Energy Transition,Energy (MW added),"Install a 150 kWp solar PV system in Zambia's UN Common premises, reducing greenhouse gas emissions by 28.12 tCO2 annually and saving USD 4100 in electricity costs."
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Clean Electricity,Cumulative Installed capacity of clean energy mini-grids (MW) in project area,0.385,2.025,3 minigrids; 385kW  (2019),UNDP,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-1,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,17500,28700.0,Energy Access,Energy (MW added),Increase cumulative installed capacity of clean energy mini-grids in project area from 0.385 MW to 2.025 MW through the implementation of 3 minigrids with a total capacity of 385 kW.
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Clean Electricity,Number of Households connected to the mini grids in the project areas,1250 HH,9416,2200 Housoldes in three different project sites. 4.5 as average of people per Houselds,,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-2,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,9416.0,Energy Access,Electricity Access,"Connect 9416 households to mini grids in Malawi, increasing access to clean and renewable energy."
126170,Access to Clean and Renewable Energy,http://open.undp.org/projects/00126170,3379000.0,Clean Electricity,Number of Productive Users connected to the mini-grids in the project areas,0,15,"Productive Users may include health care, agricultural mechanization, educational and business/industrial activities. Productive use  of energy are income generating activities that are directly positively affected by the use of electric energy from the mini grid. ",,,Non-VF,,Close the gap on energy access,,,Some Sources,126170.0-3,MWI,,Malawi,454.0,Africa,Sub-Saharan Africa,,yes,,African Group,Malawi,RBA,Low income,LDC,,LLDC,Low,Clean Up,1,15.0,Energy Access,Electricity Access,"Connect 15 productive users to mini-grids in Malawi, supporting income-generating activities in health care, agriculture, education, and business/industry."
