Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Direct Beneficiaries,GHG Emissions Reduction,description,sdgs,solution,Gender Marker
117913,Résilience des communautés et des écosystèmes,3459600.0,Togo,TGO,http://open.undp.org/projects/00117913,['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,3,3697.5,0.0,Il s’agit de la promotion du développement Local basé sur l’appropriation par les populations rurales des bonnes pratiques de gestion de l’environnement à travers la promotion des écovillages,[13],"['Others', 'Close the energy gap']",Missing
134793,Accès aux énergies renouvelables en milieu rural au Togo,1431552.0,Togo,TGO,http://open.undp.org/projects/00134793,['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,3,31525.0,0.0,Accélération de l’accès aux énergies renouvelables pour l’autonomisation économique des populations en milieu rurale au Togo,[7],['Close the energy gap'],Missing
91204,Apoyo a la Modernización de La Gestión Ambiental,4202031.0,Panama,PAN,https://open.undp.org/projects/00082182,"UNDP (TRAC 4000) CLIMATE PROMISE (28708) - NDC Partnership (PAF)
Aes Panamá S.R.L
Federal Ministry For The Environment, Nature Conservation And Nuclear Safety
Pan-Government",Non-VF,1,0.0,0.0,,,,Missing
133871,Beyond Recovery COVID19 Energy,473000.0,Panama,PAN,"https://www.undp.org/es/panama/noticias/dos-aguas-y-un-proyecto-de-energia-solar-para-alcanzar-energia-sostenible

https://open.undp.org/projects/00133871",['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,2,17500.0,0.0,"Acceso universal, a través de la implementación de una micro red para uso productivo en una comunidad de la Cuenca del Canal, promoviendo así nuevos modelos de electrificación rural en zonas aisladas.","[1, 5, 9]",['Promote nature-based solutions for a sustainable planet'],Missing
6613,Africa Mini-grids Program,1363947.0,Zambia,ZMB,PIMS+,,VF,3,4936.0,13780.0,,,,Missing
missing-ZMB-1,Solar For health,,Zambia,ZMB,,,Non-VF,2,810000.0,0.0,,,,Missing project id
missing-ZMB-2,Greening UNDP Office,222653.39,Zambia,ZMB,,"UNDP, UNICEF, UNFPA, UNCDF, RCO, UNDSS, UNCTAD, DCO.",Non-VF,1,2625.0,0.0,,,,Missing project id
126170,Access to Clean and Renewable Energy,3379000.0,Malawi,MWI,http://open.undp.org/projects/00126170,['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,6,258131.0,0.0,"The goal of the ACRE Project is to increase access to clean, affordable, reliable, and modern energy by enhancing the sustainability, efficiency and cost-effectiveness of energy technologies","[13, 7]",['Close the energy gap'],Missing
6512,GEF Africa Minigrids Program,396125.0,Malawi,MWI,PIMS+,GEF,VF,3,763.0,1068.0,Project Objective:  Supporting access to clean energy by increasing the financial viability and promoting scaled-up commercial investment in minigrids in Malawi.,,,Missing
5728,LED and high efficiency transformers in SA,5000000.0,South Africa,ZAF,PIMS+,,VF,2,0.0,21100.0,,,,Missing
5256,South Africa Wind Energy Project (Phase II),3554250.0,South Africa,ZAF,PIMS+,Department of Energy. South Africa,VF,4,105730.0,70378.0,,,,Missing
missing-ZAF-1,Just Energy Transition Platform,273333.0,South Africa,ZAF,,UNDP LVGA,Non-VF,1,0.0,0.0,,,,Missing project id
missing-ZAF-2,Just Inclusive Energy Transition ,1000000.0,South Africa,ZAF,,Japan,Non-VF,10,355.52,0.0,,,,Missing project id
